x,y,z,Magnitude,Row_Mean
-3.219646771412954e-17,-3.1086244689504386e-17,4.884981308350689e-17,-1.9095836023552692e-16,2.220446049250313e-18
1.915134717478395e-17,1.7763568394002505e-17,2.4424906541753444e-17,-2.1760371282653068e-16,-1.0130785099704553e-17
-2.1094237467877975e-17,-3.219646771412954e-17,-8.43769498715119e-17,3.8635761256955447e-16,-1.2212453270876722e-17
2.7478019859472624e-17,-2.886579864025407e-17,-8.881784197001253e-18,-8.382183835919932e-16,-2.914335439641036e-18
1.3322676295501878e-17,2.6367796834847467e-17,3.3306690738754695e-17,-7.938094626069869e-17,-1.7763568394002505e-17
-6.439293542825907e-17,-2.886579864025407e-17,-2.4424906541753444e-17,2.375877272697835e-16,1.7208456881689926e-17
-1.8873791418627663e-17,-2.55351295663786e-17,3.608224830031759e-18,5.706546346573304e-16,2.4424906541753444e-17
-2.1649348980190553e-17,-4.135580766728708e-17,1.7763568394002505e-17,-3.8469227803261673e-16,2.55351295663786e-17
1.7763568394002505e-17,1.5543122344752193e-17,8.881784197001253e-18,-1.9317880628477724e-16,4.440892098500626e-18
7.494005416219807e-18,2.4147350785597155e-17,-1.9012569296705807e-17,6.483702463810914e-16,-4.163336342344337e-18
-6.106226635438361e-18,-4.996003610813204e-18,-1.3322676295501878e-17,4.996003610813204e-16,2.886579864025407e-17
1.5543122344752193e-17,-2.373101715136272e-17,-3.3306690738754695e-18,-2.7366997557010107e-16,-1.3322676295501878e-17
1.9984014443252817e-17,-3.039235529911366e-17,1.5543122344752193e-17,2.0539125955565396e-17,-4.884981308350689e-17
1.1102230246251566e-18,2.4424906541753444e-17,-3.3306690738754695e-17,5.034861416675085e-16,-3.1086244689504386e-17
-1.1102230246251566e-18,-3.136380044566067e-17,3.219646771412954e-17,-5.284661597215745e-16,2.7755575615628914e-17
-2.4424906541753444e-17,-3.663735981263017e-17,2.220446049250313e-18,-7.216449660063518e-17,-6.661338147750939e-17
3.3306690738754695e-17,-4.662936703425657e-17,1.7763568394002505e-17,2.971928259043466e-16,-2.997602166487923e-17
1.1657341758564143e-17,3.1086244689504386e-17,2.2759572004815708e-17,3.0309088572266773e-16,1.7763568394002505e-17
-9.992007221626408e-18,3.3306690738754695e-18,-6.217248937900877e-17,-3.885780586188048e-16,2.4424906541753444e-17
-1.9984014443252817e-17,-4.9960036108132046e-17,2.0886070650760756e-17,2.9753977059954197e-16,-3.441691376337985e-17
4.496403249731884e-17,7.771561172376097e-18,-3.3306690738754695e-17,4.829470157119431e-16,4.440892098500626e-18
1.7763568394002505e-17,1.9984014443252817e-17,-1.3322676295501878e-17,-4.035660694512444e-16,6.661338147750939e-18
-1.1102230246251566e-17,-1.7763568394002505e-17,1.5543122344752193e-17,1.2878587085651815e-16,-4.440892098500626e-18
-2.6645352591003756e-17,-1.7763568394002505e-17,-6.88338275267597e-17,4.3520742565306136e-16,5.10702591327572e-17
-1.790234627208065e-17,-3.1086244689504386e-17,-4.4408920985006264e-17,1.965094753586527e-16,-1.0269562977782698e-17
